"","target","CUSTOMER_PROFILE_CODE","LOCATIONNAME","VEHICLEMODEL","ASSETCOST","LOANAMOUNT","EMI","TENURE","ADDRESSCONFIRMED","DESIGNATION","RESIDENCETYPE","NOOFYEARSINSAMECITY","RESIDENCESTABILITY","RESIDENCELOCALITY","BUSINESSCATEGORY","BUSINESSMARGINGROSS","INCOMEEMPLOYMENT","STABILITYINBUSINESS","STABILITYCONFIRMED","STABILTIYCONFIRMEDTHRU","ISFAMILYINVOLVED","OFFICETYPE","MONTHLYTURNOVER","STOCKVALUEINHAND","BUSINESSMARGINNET","NOOFEMPLOYEES","NAMEBOARDSEEN","OFFICELOCALITY","ISRESIDENCECOMEOFFICE","ENDUSEOFLOAN","ENDUSEOFASSET","ASSETLOCATION","NEIGHBOURREF","POLITICALLINK","PROFESSIONTYPE","CURRENTBUSINESSSTABILITY","APPLICANTDESIGNATION","ASSETREGMONTH","ASSETREGYEAR","LANDOWNERSHIP","IRRIGATIONSOURCE","CROPSCULTIVATED","DISTFROMSCELOCATION","DISTFROMDEALERLOCATION","IMGCONFIRM","TOTALEXPENSEPERMONTH","NETINCOMEPERMONTH","FOIR","Target","UID","Location"
"433","Bad","PROF096","CHENNAI I","MAHINDRA SCORPIO VLX BS III DIESEL 2011",600000,504250,13027,60,"Y","HIRER","O",25,20,3,"PR005",0,40000,22,"N",5,"N","O",0,0,"0","1","N",1,"Y","CAR PURCHASE",1,"CHENNAI","POSITIVE","N","SEP",20,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",20000,20000,65,1,433,12
"434","Good","PROF124","MYSORE","MARUTI SUZUKI WAGON R VXI PETROL 2014",400000,294250,8100,60,"Y","SELF","O",40,45,3,"PR006",70,40000,18,"N",NA,"N","O",40000,0,"50","4","N",1,"Y","SALE PURCHASE ",1,"MANGALORE","POSITIVE","N","SEP",8,"ELECTRICAL CONTTRACTOR",NA,0,NA,NA,NA,0,0,"Y",10000,30000,27,2,434,23
"435","Bad","PROF252","INDORE ","MARUTI SUZUKI OMNI 8 SEATER BS III PETROL 2012",172000,104250,6186,20,"Y","SELF","O",45,45,3,"PR008",30,30000,30,"Y",5,"Y","O",0,0,"30","0","Y",2,"Y","PERSONAL USE",1,"GRAM MOTAPURA","POSITIVE","N","AGR",30,"FARMER",NA,0,NA,NA,NA,0,0,"Y",0,30000,21,1,435,18
"436","Bad","PROF109","CALICUT","VOLKSWAGEN POLO HIGHLINE1.2L DIESEL 2012",525000,354250,10593,48,"Y","APPLICANT ","O",40,30,3,"PR006",0,72000,25,"Y",5,"N","O",0,0,"0","1","N",1,"N","VEHICLE PURCHASE ",2,"CHELARYCHETTIPPADI","POSITIVE","N","SEP",25,"HOUSE WIFE ",NA,0,NA,NA,NA,0,0,"Y",20000,52000,20,1,436,42
"437","Good","PROF211","CHENNAI I","HYUNDAI I10 ERA PETROL 2013",350000,250000,8924,36,"Y","APPLICANT","O",36,30,3,"PR005",0,1e+05,10,"N",NA,"N","R",0,0,"0","6","Y",2,"N","APPLICANT FAMILY USE",1,"CHENNAI","POSITIVE","N","SEP",10,"TRANSPORT OWNER",NA,0,NA,NA,NA,0,0,"Y",0,100000,9,2,437,12
"438","Good","PROF252","BIKANER","MARUTI SUZUKI CIAZ ZDI DIESEL 2014",700000,600000,19000,48,"Y","FATHER","O",34,34,3,"PR007",20,1e+05,30,"N",NA,"Y","O",2e+06,1000000,"10","1","Y",1,"Y","PURCHASE THE VEHICLE",1,"BIKANER","POSITIVE","N","AGR",30,"PROPRITOR",NA,0,NA,NA,NA,0,0,"Y",0,100000,19,2,438,61
"439","Good","PROF246","ORISSA","MARUTI SUZUKI SWIFT LDI DIESEL 2011",600000,404250,10275,60,"Y","APPLICANT","O",32,32,3,"PR005",20,160000,7,"Y",5,"N","L",8e+05,500000,"20","20","N",2,"N","GIVEN TO SALER",1,"BHUBANESWAR","POSITIVE","N","SEP",5,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",110000,50000,21,2,439,29
"440","Good","PROF320","KARIMNAGAR","TATA INDICA VISTA LS TDI BS III DIESEL 2013",300000,254250,9923,36,"Y","APPLICANT ","O",34,34,3,"PR005",0,45000,10,"Y",6,"N","O",0,0,"0","2","Y",1,"Y","APPLICANT ",1,"APPLICANT ","POSITIVE","N","SEP",10,"PROPRITIOR ",NA,0,NA,NA,NA,0,0,"Y",15000,30000,33,2,440,33
"441","Good","PROF358","CHENNAI I","MARUTI SUZUKI WAGON R VXI PETROL 2012",350000,296250,8888,48,"Y","APPLICANT","O",35,14,3,"PR005",0,40000,15,"Y",5,"N","R",0,0,"0","0","Y",2,"N","APPLICANT",1,"CHENNAI","POSITIVE","N","SEP",15,"COUNTRY DRUGS SHOP PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",0,40000,22,2,441,12
"442","Good","PROF227","BANGALORE ","MAHINDRA XUV500 W6 DIESEL 2012",600000,500000,18835,36,"Y","SELF","O",10,5,3,"PR002",0,150000,0.3,"Y",1,"N","R",0,0,"0","1","Y",2,"N","APPLICANT",1,"BANGLORE","POSITIVE","N","SAL",0.3,"ASSISTENT VOICE PRESIDENT",NA,0,NA,NA,NA,0,0,"Y",60000,90000,45,2,442,9
"443","Good","PROF245","BANGALORE ","TOYOTA INNOVA 2.5 V 8 STR DIESEL 2007",500000,400000,13520,40,"Y","APPLICANT ","O",15,15,3,"PR005",0,1e+05,5,"Y",1,"N","O",0,0,"0","2","Y",1,"Y","PERSONAL",1,"BANGLORE ","POSITIVE","N","SEP",2,"PROPREITOR ",NA,0,NA,NA,NA,0,0,"Y",30000,70000,19,2,443,9
"444","Good","PROF289","VISAKHAPATNAM","TATA INDICA VISTA LS TDI BS III DIESEL 2012",350000,304250,11619,36,"Y","SELF","O",30,12,3,"PR005",0,190000,12,"Y",1,"Y","O",0,0,"0","3","Y",1,"N","SAME AS ABOVE",1,"VIZAG","POSITIVE","N","SEP",12,"GOLD SHOP PROPRTER",NA,0,NA,NA,NA,0,0,"Y",10000,180000,6,2,444,14
"445","Good","PROF338","HYDERABAD ","MAHINDRA SCORPIO VLX BS III DIESEL 2011",950000,850000,26124,48,"Y","PROPRIETOR","R",15,3,3,"PR005",0,80000,12,"Y",1,"N","R",5e+05,300000,"0","2","Y",2,"N","PERSONAL USAGE",1,"HYDERABAD","POSITIVE","N","SEP",12,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,2,445,30
"446","Good","PROF082","UDAIPUR","HYUNDAI SANTRO ECO GLS PETROL LPG 2011",200000,154250,5699,36,"Y","SELF","O",10,1,3,"PR005",0,15000,5,"Y",5,"Y","O",0,0,"0","0","Y",1,"Y","BUSINESS USE",1,"UDAIPUR","POSITIVE","N","SEP",5,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",2000,13000,44,2,446,58
"447","Bad","PROF096","ORISSA","HYUNDAI VERNA 1.4 CX VTVT MT PETROL 2014",900000,444250,11292,60,"Y","APPLICANT","O",3,3,3,"PR005",30,180000,5,"Y",5,"N","O",6e+05,0,"30","20","N",2,"Y","GIVEN TO SALER",1,"JAJPUR","POSITIVE","N","SEP",5,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",40000,140000,8,1,447,29
"448","Good","PROF321","NAGPUR","CHEVROLET TAVERA NEO LS B4 7 STR BS III DIESEL 2013",725000,499250,15127,48,"Y","SELF","O",5,5,3,"PR005",20,60000,10,"Y",6,"N","O",4e+05,0,"18","0","Y",2,"N","FAMILY USE",1,"NAGPUR","POSITIVE","N","SEP",10,"COAPP IS PROP",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,2,448,3
"449","Good","PROF252","INDORE","MARUTI SUZUKI SWIFT VDI DIESEL 2015",600000,554250,13857,60,"Y",NA,NA,NA,NA,NA,NA,0,NA,0,"N",NA,"N",NA,0,0,"0","0","Y",NA,NA,NA,NA,NA,"POSITIVE",NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"N",0,0,0,2,449,41
"450","Good","PROF247","VISAKHAPATNAM","FIAT LINEA EMOTION PK 1.3 MJD DIESEL 2011",350000,254250,9701,36,"Y","SELF","O",12,12,3,"PR007",0,140000,12,"Y",1,"Y","O",0,0,"0","2","Y",1,"Y","SELF",1,"SELF","POSITIVE","N","AGR",12,"SELF",NA,0,NA,NA,NA,0,0,"Y",10000,130000,7,2,450,14
"451","Bad","PROF109","INDORE ","HYUNDAI SANTA FE 4WD DIESEL 2011",1890000,1320000,34969,60,"Y","SELF","O",10,10,3,"PR018",1,50000,25,"Y",6,"N","O",0,0,"1","0","Y",1,"N","BAY A CAR",1,"INDORE","POSITIVE","N","OTH",25,"HOUSE WIFE",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,1,451,18
"452","Good","PROF007","JAIPUR","MARUTI SUZUKI ALTO 800 VXI PETROL 2014",300000,254250,9605,36,"Y","WIFE","O",17,17,3,"PR005",0,30000,17,"N",5,"N","O",0,0,"0","0","Y",1,"N","PERSONAL USE",1,NA,"POSITIVE","N","SEP",17,"PRIEST",NA,0,NA,NA,NA,0,0,"Y",2000,28000,34,2,452,48
"453","Good","PROF218","VIJAYAWADA","TATA INDICA V2 LS DIESEL 2011",180000,134250,7004,24,"Y","APPLICANT ","O",20,20,3,"PR005",0,60000,5,"Y",5,"N","O",0,0,"0","0","N",1,"Y","LOAN FOR VEHICLE PURCHASE",1,"PUDIWADA","POSITIVE","N","SEP",5,"TRAVEL OWNER",NA,0,NA,NA,NA,0,0,"Y",25000,35000,20,2,453,15
"454","Good","CP_004","UDAIPUR","HYUNDAI I10 ERA 1.1 1RDE2 PETROL 2010",220000,174250,6500,36,"Y","SELF","O",31,31,3,"PR005",0,55000,8,"Y",5,"N","O",0,0,"0","1","N",1,"Y","VEHICLE PURCHASE",1,"UDAIPUR","POSITIVE","N","SEP",4,"PROPIETOR",NA,0,NA,NA,NA,0,0,"Y",15000,40000,16,2,454,58
"455","Good","PROF235","RAIPUR","MAHINDRA SCORPIO VLX 2.2 M HAWK DIESEL 2011",390000,244250,12111,24,"Y","SELF","O",16,16,3,"PR006",0,45000,12,"Y",5,"N","O",0,0,"0","2","N",1,"N","CAR LOAN",1,NA,"POSITIVE","N","SEP",12,"PROPERITERSHIP",NA,0,NA,NA,NA,0,0,"Y",0,45000,27,2,455,45
"456","Bad","PROF245","TIRUPATHI","FORD FIGO 1.4 TDCI DIESEL 2010",320000,204250,10213,24,"Y","APPLICANT","O",30,20,3,"PR002",0,32000,4,"N",6,"N","R",0,0,"0","1","Y",2,"N","TO PURCHASE THE VEHICLE",2,"ANANTAPUR","POSITIVE","N","SAL",4,"DRIVER",NA,0,NA,NA,NA,0,0,"Y",4000,28000,36,1,456,39
"457","Good","PROF245","ERNAKULAM","TOYOTA COROLLA ALTIS G DIESEL 2012",600000,400000,14445,36,"Y","APPLICANT","O",27,25,3,"PR004",0,50000,5,"Y",5,"Y","O",0,0,"0","10","Y",2,"Y","APPLICANT AND FAMILY",1,"THODUPUZHA","POSITIVE","N","SEP",5,"PARTNER",NA,0,NA,NA,NA,0,0,"Y",11368,38632,52,2,457,13
"458","Good","PROF349","ROWB","MARUTI SUZUKI OMNI 8 SEATER BS IV PETROL 2015",300000,254250,6463,60,"Y","APPLICANT","O",20,20,3,"PR005",0,25000,5,"Y",6,"N","O",0,0,"0","0","N",1,"Y","APPLICANT",1,NA,"POSITIVE","N","SEP",5,"PROPRITOR",NA,0,NA,NA,NA,0,0,"Y",8000,17000,38,2,458,8
"459","Bad","PROF265","TIRUNELVELI ","MAHINDRA BOLERO SLX DIESEL 2012",800000,504250,13447,60,"Y","CO APPLICANT","O",15,2,6,"PR002",0,50000,25,"N",6,"N","O",0,0,"0","0","Y",1,"N","APPLICANT",1,"KARIYAPATTI","POSITIVE","N","SAL",25,"CO OPERATIVE BANK SECRETERY",NA,0,NA,NA,NA,0,0,"Y",40000,10000,134,1,459,19
"460","Good","PROF245","SURAT","HYUNDAI I20 ASTA 1.4 CRDI DIESEL 2012",575000,479250,13979,48,"Y","APPLICANT","O",5,5,3,"PR005",25,3e+05,6,"Y",6,"Y","R",5e+05,500000,"15","12","Y",2,"N","PERSONAL",1,"SURAT","POSITIVE","N","SEP",6,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",85177,214823,11,2,460,44
"461","Bad","PROF013","NAGPUR","HYUNDAI I20 SPORTZ 1.2 O PETROL 2010",350000,229250,8470,36,"Y","SELF","O",44,44,3,"PR005",0,50000,22,"Y",5,"N","O",0,0,"0","0","Y",1,"N","PERSONAL USE",1,"KHAPA NAGPUR","POSITIVE","N","SEP",22,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",0,50000,17,1,461,3
"462","Bad","PROF252","INDORE ","FORD ECOSPORT TREND 1.5 TDCI DIESEL 2014",675000,554250,15704,48,"Y","FARMER","O",36,36,3,"PR007",0,170000,16,"Y",5,"N","O",0,0,"0","5","Y",1,"N","OWNED HOUSE ",1,"INDORE","POSITIVE","N","AGR",16,"FARMER ",NA,0,NA,NA,NA,0,0,"Y",30000,140000,11,1,462,18
"463","Good","PROF013","JABALPUR ","HONDA MOBILIO 1.5 V MT 2014",900000,758500,19279,60,"Y","SELF MEET","O",40,30,6,"PR005",0,55000,30,"Y",5,"Y","O",35000,0,"0","1","Y",2,"Y","BUSINESS USE",1,"SATNA","POSITIVE","N","SEP",30,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",20000,35000,55,2,463,40
"464","Bad","PROF235","JABALPUR ","CHEVROLET TAVERA LS B3 10 STR BS III DIESEL 2010",500000,429250,12620,48,"Y","SON ","O",20,20,3,"PR005",0,50000,2,"N",5,"N","O",0,0,"0","2","Y",2,"N","PERSONAL ",1,"KARELI ","POSITIVE","N","SEP",2,"JIGGERY MANUFACTURING TRADING",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,1,464,40
"465","Bad","PROF096","TIRUNELVELI ","TATA SUMO GOLD EX BS IV DIESEL 2012",450000,274250,8571,48,"Y","APPLICANT","O",25,25,3,"PR005",1,25000,6,"Y",5,"N","O",1500000,0,"1","0","Y",1,"Y","FOR FAMILY AND BUSINESS USAGE",1,"TIRUNELVELI","POSITIVE","N","SEP",3,"CIVIL SUB CONTRACTOR",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,1,465,19
"466","Good","PROF096","ORISSA","HYUNDAI I20 ASTA 1.4 CRDI DIESEL 2012",800000,250000,6355,60,"Y",NA,NA,NA,NA,NA,NA,0,NA,0,"N",NA,"N",NA,0,0,"0","0","Y",NA,NA,"GIVEN TO SALER",NA,"KEONJHAR","POSITIVE","N",NA,NA,NA,NA,0,NA,NA,NA,0,0,"N",0,0,0,2,466,29
"467","Good","PROF356","SALEM ","MARUTI SUZUKI OMNI 8 SEATER PETROL 2013",230000,174250,6525,36,"Y","APPLICANT","O",32,32,3,"PR006",0,25000,20,"Y",5,"Y","O",30000,0,"0","0","N",1,"N","APPLICANT ",1,NA,"POSITIVE","N","SEP",20,"SELF EMPLOYED",NA,0,NA,NA,NA,0,0,"Y",0,25000,26,2,467,22
"468","Good","PROF289","KOLHAPUR","TOYOTA INNOVA 2.5 G2 DIESEL 2009",600000,504250,15615,48,"Y","APP SELF MET","O",40,40,3,"PR005",0,180000,17,"N",NA,"N","O",0,0,"0","15","N",1,"Y","VEH USED FOR PERSONEL AND BUSINESS PURPOSE.",1,"KOLHAPUR","POSITIVE","N","SEP",17,"PROPRITOR",NA,0,NA,NA,NA,0,0,"Y",60000,120000,13,2,468,11
"469","Good","PROF245","MYSORE","MARUTI SUZUKI RITZ VDI BS IV DIESEL 2010",350000,224250,8392,36,"Y","APPLICANT ","O",26,25,3,"PR005",60,250000,3,"Y",1,"N","O",2e+05,500000,"50","3","Y",1,"Y","APPLICANT ",1,"SHIVAMOGGA ","POSITIVE","N","SEP",3,"PROPRIETOR ",NA,0,NA,NA,NA,0,0,"N",200000,50000,17,2,469,23
"470","Good","PROF325","NAGPUR","VOLKSWAGEN POLO CROSS POLO DIESEL 2014",500000,404250,13391,60,"Y","SELF","R",17,5,3,"PR001",0,42000,15,"N",NA,"N","L",0,0,"0","25","Y",2,"N","SUNIL BHAGWAN CHIMURKAR ",1,"WARORA","POSITIVE","N","SAL",15,"LAB ASSITANT",NA,0,NA,NA,NA,0,0,"Y",0,42000,32,2,470,3
"471","Bad","PROF252","JALANDHAR","TOYOTA INNOVA 2.0 G DIESEL 2007",400000,300000,11084,36,"Y","APPLICANT","O",28,28,3,"PR006",0,50000,3,"N",5,"N","O",0,0,"0","0","Y",1,"N","APPLICANT",1,"PHILLAUR","POSITIVE","N","SEP",3,"PROP",NA,0,NA,NA,NA,0,0,"Y",22000,28000,40,1,471,56
"472","Good","PROF383","HYDERABAD ","TATA SAFARI 4X2 LX DICOR BS III DIESEL 2012",900000,450000,16955,36,"Y","APPLICANT ","O",27,15,3,"PR006",0,70000,10,"Y",5,"Y","O",0,0,"0","0","N",1,"Y","PERSONAL USAGE",1,"HYDERABAD","POSITIVE","N","SEP",10,"RENTAL INCOME EARNER",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,2,472,30
"473","Bad","PROF252","BANGALORE ","MARUTI SUZUKI RITZ VDI BS IV DIESEL 2011",320000,250000,9445,36,"Y","SHIVARAJU YN","O",40,40,3,"PR007",0,30000,30,"Y",6,"Y","O",0,0,"0","5","N",1,"Y","END USER",1,"GUDIBANDE ","POSITIVE","N","AGR",30,"AGRICULTURIST ",NA,0,NA,NA,NA,0,0,"Y",0,30000,31,1,473,9
"474","Bad","PROF207","SALEM ","MARUTI SUZUKI SWIFT VDI DIESEL 2007",350000,229250,8489,36,"Y","APPLICANT ","O",25,25,3,"PR006",35,80000,5,"Y",1,"N","R",2e+05,300000,"30","1","Y",1,"N","OWN USE",1,"RASIPURAM","POSITIVE","N","SEP",5,"PROP",NA,0,NA,NA,NA,0,0,"Y",27000,53000,16,1,474,22
"475","Good","PROF235","BHOPAL ","TATA INDICA EV2 LS DIESEL 2012",200000,124250,6213,24,"Y","SELF","O",22,4,3,"PR005",0,25000,20,"N",NA,"N","O",25000,0,"0","0","Y",1,"N","PERSONAL USE.",1,"BHOPAL","POSITIVE","N","SEP",20,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",0,25000,25,2,475,25
"476","Good","PROF321","PUNE","HYUNDAI VERNA FLUIDIC 1.6 SX CRDI OPT DIESEL 2012",600000,500000,13271,60,"Y","SELF","O",30,30,3,"PR005",0,103000,8,"Y",1,"N","O",0,0,"0","15","N",2,"Y","FOR VEHICLE",1,"PUNE","POSITIVE","N","SEP",8,"PROP",NA,0,NA,NA,NA,0,0,"Y",0,103000,13,2,476,7
"477","Good","PROF207","NAGPUR","MAHINDRA BOLERO XL 10 STR DIESEL 2008",310000,184250,6825,36,"Y","SELF","O",25,25,3,"PR005",0,15000,5,"N",NA,"N","O",0,0,"0","0","Y",1,"N","NAA",1,NA,"POSITIVE","N","SEP",5,"SELF",NA,0,NA,NA,NA,0,0,"Y",0,15000,46,2,477,3
"478","Good","PROF282","KOLKATA","MAHINDRA XYLO D2 BS IV DIESEL 2014",800000,654250,16798,60,"Y","SELF","O",34,34,3,"PR005",0,120000,20,"Y",5,"N","O",120000,0,"0","4","N",1,"N","PERSONAL",1,NA,"POSITIVE","N","SEP",20,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",50000,70000,24,2,478,2
"479","Bad","PROF210","TRICHY ","MARUTI SUZUKI SWIFT DZIRE ZDI DIESEL 2012",500000,424250,13152,48,"Y","APPLICANT ","O",23,23,3,"PR005",30,75000,7,"Y",5,"Y","O",50000,1000,"20","2","N",1,"Y","FAMILY USE",1,"THAMBIKOTTAI","POSITIVE","N","SEP",7,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",20120,54880,30,1,479,37
"480","Good","PROF235","SALEM ","TOYOTA INNOVA 2.5 V 7STR DIESEL 2009",700000,608500,17774,48,"Y","APPLICANT ","O",25,10,3,"PR005",0,450000,15,"Y",1,"Y","R",0,0,"0","10","Y",2,"N","BUSINESS PURPOSES ",1,"TIRUCHENGODE","POSITIVE","N","SEP",10,"OWNER ",NA,0,NA,NA,NA,0,0,"Y",311865,138135,57,2,480,22
"481","Good","PROF209","HYDERABAD ","MARUTI SUZUKI SWIFT VXI 1.2 BS IV PETROL 2011",350000,304250,9196,48,"Y","APPLICANT","R",10,2,3,"PR002",0,30000,9,"N",5,"N","L",0,0,"0","0","Y",2,"N","PERSONAL",1,"HYDERABAD","POSITIVE","N","SAL",9,"LECTURER",NA,0,NA,NA,NA,0,0,"Y",0,30000,31,2,481,30
"482","Good","PROF283","KARIMNAGAR","FORD FIGO TDCI TITANIUM 1.4 DIESEL 2011",400000,304250,11494,36,"Y","PROPRIETOR ","R",15,5,3,"PR005",0,50000,10,"Y",5,"N","O",75000,0,"0","5","Y",2,"N","APPLICANT ",1,"WARANGAL","POSITIVE","N","SEP",10,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",10000,40000,29,2,482,33
"483","Bad","PROF109","DELHI","RENAULT DUSTER RXL DIESEL 110 DIESEL 2014",560000,499000,14970,48,"N","OFFICE PD DONE","O",3,3,3,"PR005",0,45000,2,"Y",5,"N","L",0,0,"0","3","N",2,"N","SELF",1,NA,"POSITIVE","N","SEP",2,"PROP",NA,0,NA,NA,NA,0,0,"Y",15000,30000,50,1,483,27
"484","Good","PROF277","BANGALORE ","TOYOTA INNOVA 2.5 G4 8 STR DIESEL 2007",550000,504250,18357,36,"Y","HIRER","O",10,10,3,"PR005",20,75000,10,"Y",5,"Y","O",0,0,"0","0","N",1,"Y","TO HAVE ASSET FOR FAMILY",1,"BANGALORE","POSITIVE","N","SEP",10,"PROP",NA,0,NA,NA,NA,0,0,"Y",25000,50000,37,2,484,9
"485","Bad","PROF115","KARIMNAGAR","HYUNDAI I10 MAGNA 1.1 LPG PETROL 2014",410000,310000,11337,36,"Y","GUARANTOR","O",40,30,3,"PR003",0,25000,5,"Y",5,"N","O",0,0,"0","1","Y",2,"N","APPLICANT",1,"KAMAREDDY ","POSITIVE","N","SEP",5,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,1,485,33
"486","Good","PROF094","MADURAI","MAHINDRA QUANTO C4 DIESEL 2013",220000,154250,9916,18,"Y","SELF","O",25,10,3,"PR004",0,35000,25,"Y",5,"Y","R",0,0,"30","2","Y",2,"N","APLICANT",1,"DINDIGUL","POSITIVE","N","SEP",25,"PARTNER",NA,0,NA,NA,NA,0,0,"Y",5000,30000,33,2,486,1
"487","Good","PROF390","CHENNAI I","HYUNDAI I10 SPORTZ 1.2 PETROL 2010",500000,304250,7875,60,"Y","APPLICANT","R",30,5,3,"PR002",0,60000,4,"N",NA,"N","R",0,0,"0","0","N",2,"N","APPLICANT PERSONAL USE",1,"CHENNAI","POSITIVE","N","SAL",2,"PROGRAMME ANCHOR",NA,0,NA,NA,NA,0,0,"Y",40000,20000,39,2,487,12
"488","Good","PROF227","HYDERABAD ","HYUNDAI SANTRO GLS PETROL LPG 2010",300000,250000,9420,36,"Y","APPLICANT","R",6,1,3,"PR003",0,84760,6,"Y",5,"N","R",0,0,"0","0","Y",1,"N","PERSONAL USAGE",1,"HYDERABAD","POSITIVE","N","SEP",6,"SERVICE MANAGER",NA,0,NA,NA,NA,0,0,"Y",15000,69760,14,2,488,30
"489","Good","PROF109","HYDERABAD ","HYUNDAI VERNA VGT CRDI SX DIESEL 2013",700000,650000,16250,60,"Y","HUSBAND","O",10,5,3,"PR006",0,160000,1,"Y",5,"N","O",0,0,"0","1","N",1,"Y","PERSONAL USE",2,"HYDERABAD","POSITIVE","N","SEP",1,"HOUSE WIFE",NA,0,NA,NA,NA,0,0,"Y",10000,150000,11,2,489,30
"490","Good","PROF235","AHMEDABAD","TOYOTA INNOVA 2.5 V 8 STR DIESEL 2011",850000,650000,24014,36,"Y","SELF","O",18,18,3,"PR005",0,107000,18,"N",1,"N","O",0,0,"0","4","Y",2,"N","PURCHASE PROPOSED ASSET",1,"AHMEDABAD","POSITIVE","N","SEP",18,"PROP",NA,0,NA,NA,NA,0,0,"Y",38952,68048,46,2,490,4
"491","Bad","PROF389","KOLHAPUR","TATA ARIA PLEASURE 4X2 DIESEL 2011",500000,404250,12519,48,"Y","SELF","O",38,38,3,"PR005",0,35000,5,"Y",5,"Y","R",0,0,"0","1","Y",2,"N","FOR USE CAR PURCHASE",1,NA,"POSITIVE","N","SEP",5,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",0,35000,36,1,491,11
"492","Good","PROF204","RAJKOT","VOLKSWAGEN JETTA COMFORTLINE 1.9 TDI DIESEL 2010",900000,800000,29556,36,"Y","APPLICANT SELF","O",10,5,3,"PR002",0,125000,7,"N",1,"N","O",0,0,"0","0","Y",2,"N","APPLICANT",1,"MORBI","POSITIVE","N","SAL",2,"MANAGER",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,2,492,36
"493","Bad","PROF252","BIKANER","MAHINDRA SCORPIO RF HAWK DIESEL 2009",350000,304250,11494,36,"Y","SELF","O",30,30,3,"PR007",0,70000,15,"N",NA,"N","O",0,0,"0","1","Y",1,"Y","PURCHASE THE VEHICLE",1,"BIKANER","POSITIVE","N","AGR",15,"PROPRITOR",NA,0,NA,NA,NA,0,0,"Y",35000,35000,33,1,493,61
"494","Bad","PROF252","MADURAI","MARUTI SUZUKI OMNI LPG BS III PETROL 2014",300000,200000,7723,36,"Y","APPLICANT ","O",38,38,3,"PR005",0,35000,20,"Y",1,"Y","O",0,0,"0","1","N",1,"Y","APPLICANT ",1,"MADURAI ","POSITIVE","N","SEP",20,"PROPRIETOR ",NA,0,NA,NA,NA,0,0,"Y",0,35000,22,1,494,1
"495","Good","PROF252","NASIK","MAHINDRA BOLERO SLX DIESEL 2012",400000,354250,9140,60,"Y","SELF","O",23,23,3,"PR007",0,50000,7,"Y",5,"Y","O",0,0,"0","2","Y",1,"Y","FOR PERSONAL USE",1,"NASHIK SINNAR","POSITIVE","N","AGR",7,"FARMER",NA,0,NA,NA,NA,0,0,"Y",24692,25308,51,2,495,26
"496","Good","PROF245","HYDERABAD ","MAHINDRA XUV500 W8 DIESEL 2013",900000,800000,20134,60,"Y","PROP","R",25,10,3,"PR005",0,4e+05,10,"N",1,"N","R",0,0,"0","18","Y",2,"N","FOR PURCHASING OF APPLIED ASSET",1,"HYDERABAD","POSITIVE","N","SEP",10,"PROP",NA,0,NA,NA,NA,0,0,"Y",285000,115000,27,2,496,30
"497","Good","PROF358","KANPUR","MAHINDRA XUV500 W8 4X4 DIESEL 2014",900000,804250,20107,60,"Y","SELF","O",35,35,1,"PR005",0,1e+05,10,"Y",5,"N","O",0,0,"0","0","Y",1,"Y","PERSONAL USAGE",1,"KANPUR","POSITIVE","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,497,46
"498","Good","PROF233","COIMBATORE","MARUTI SUZUKI SWIFT VDI DIESEL 2009",700000,304250,11000,36,"Y","APPLICANT","R",38,7,3,"PR001",0,252000,20,"Y",1,"N","O",0,0,"0","200","Y",2,"N","APPLICANT ",1,"SATHYAMANGALAM","POSITIVE","N","SAL",13,"DRIVER",NA,0,NA,NA,NA,0,0,"Y",10000,242000,5,2,498,43
"499","Bad","PROF356","PUNE","HYUNDAI I20 MAGNA 1.2 PETROL 2009",360000,264250,6928,60,"Y","SELF ","O",37,37,3,"PR005",0,30000,25,"Y",5,"N","L",0,0,"0","4","Y",2,"N","FOR PURCHASE USED CAR",1,"PUNE","POSITIVE","N","SEP",25,"PROP",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,1,499,7
